"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","cat_questionnaire_time","total_time","ID"
2,3,4,3,2,2,3,2,1,3,3,2,2,1,1,3,1,2,3,4,2,3,2,3,1,2,1,3,2,1,1,303075,447.807,59
4,5,5,5,3,3,4,3,1,3,3,1,1,4,5,3,2,3,4,1,3,3,2,5,3,4,1,2,3,3,2,102827,196.651,60
2,1,3,2,4,2,3,1,1,2,2,1,1,1,1,1,1,1,1,3,1,4,1,1,2,1,1,2,1,1,1,167492,237.643,61
3,4,4,4,4,4,4,3,4,3,4,5,2,3,1,3,2,3,2,2,3,3,3,4,3,3,3,4,3,2,1,282274,523.397,62
3,2,3,3,4,2,3,2,1,4,4,4,3,3,1,3,1,2,1,2,1,3,3,4,3,2,2,4,3,3,2,174269,299.747,63
1,3,3,3,4,2,4,3,2,2,1,2,3,3,2,2,3,3,2,2,2,4,2,3,3,2,2,3,3,3,2,107035,670.856,64
3,4,2,3,4,4,4,3,2,2,3,1,4,1,3,1,1,3,2,5,3,4,3,4,2,3,2,2,3,3,3,103621,194.651,65
3,3,2,2,2,2,1,2,2,3,3,2,1,1,2,1,1,1,1,1,1,1,2,3,1,1,2,2,2,2,2,255312,525.481,66
3,2,2,4,3,5,3,4,2,3,1,2,1,4,4,2,2,4,3,1,3,4,2,5,4,3,4,3,1,2,1,261743,655.619,67
2,1,3,2,2,3,1,2,3,3,2,1,3,3,1,1,1,1,2,3,1,2,1,1,1,1,1,2,2,2,1,196736,280.431,68
2,1,1,2,2,1,2,1,1,1,1,3,2,2,2,1,2,2,1,1,2,2,1,2,2,1,1,1,1,1,1,210933,280.067,69
4,3,4,4,4,5,4,3,5,3,2,3,1,4,1,2,2,4,1,5,3,4,3,5,2,4,4,2,3,3,1,119277,180.871,70
1,1,2,3,2,2,3,2,1,1,1,1,2,2,1,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,136700,210.488,71
4,5,5,3,3,4,4,3,2,1,4,5,4,4,2,3,3,2,3,4,3,2,4,3,4,3,3,2,4,3,4,335992,436.43,72
3,3,2,3,5,4,5,4,1,1,1,1,1,2,1,1,2,2,2,2,2,5,4,3,1,3,1,2,3,3,1,271323,380.584,73
1,3,3,4,4,3,2,5,2,3,3,2,1,4,2,2,3,2,3,4,2,3,2,1,2,4,3,3,4,2,1,236456,297.916,74
4,4,4,4,4,3,3,2,2,4,3,3,3,3,2,4,1,3,2,3,3,3,2,4,2,2,2,3,2,3,3,142536,279.304,75
2,3,3,3,3,2,3,2,2,2,3,3,1,2,2,3,2,2,3,4,2,3,2,2,2,2,1,3,3,2,3,186186,284.116,76
4,4,4,4,3,3,3,3,3,4,4,3,2,2,1,3,1,1,3,4,2,3,2,4,2,2,1,4,3,2,3,129715,288.531,77
5,5,5,5,5,5,5,4,4,3,4,5,4,4,4,5,4,3,4,5,3,5,3,5,3,3,3,2,3,2,2,153644,246.783,78
2,4,5,5,4,3,2,4,3,4,2,1,2,2,2,3,1,4,1,4,3,3,1,5,1,2,2,1,1,2,1,376752,757.067,79
4,4,4,3,4,2,4,4,4,2,2,3,3,2,2,3,4,3,3,3,4,2,4,5,4,2,2,4,2,3,5,42352,85.576,80
3,3,3,3,4,3,3,3,2,2,1,2,1,2,2,1,3,3,1,2,2,4,2,3,2,2,2,3,2,3,1,192947,432.179,81
2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,175319,254.583,82
2,3,2,3,3,4,3,2,1,1,1,2,1,2,1,1,1,2,2,3,1,2,2,3,2,1,1,1,1,2,3,166132,383.538,83
3,4,4,4,4,2,3,3,3,3,3,3,3,3,2,1,1,3,3,1,1,2,1,2,2,1,1,1,2,1,2,229543,487.375,84
3,1,3,2,4,4,4,1,1,1,3,1,1,1,1,3,1,3,3,5,3,4,2,3,3,2,2,3,3,2,2,331127,486.932,85
2,3,4,4,3,2,3,1,2,3,1,2,1,1,1,1,1,2,2,3,1,2,1,1,2,1,1,1,1,1,1,261946,350.399,86
3,4,4,5,5,4,4,3,4,4,4,3,3,3,3,4,3,3,3,5,2,4,4,2,1,3,3,4,2,2,2,202809,337.372,87
4,4,5,5,4,3,4,3,4,4,4,3,2,4,1,4,4,4,2,3,3,3,3,3,2,4,4,2,3,3,1,218681,348.982,88
3,2,3,3,2,2,3,2,2,1,1,2,2,2,3,3,2,2,3,4,2,3,3,3,2,2,2,2,2,2,1,258341,414.079,89
2,2,2,3,3,3,2,2,4,3,3,1,3,3,2,1,1,3,1,4,2,3,2,3,2,2,1,3,2,2,3,184739,259.078,90
3,3,3,3,2,3,2,1,1,1,1,1,1,1,4,1,1,2,4,5,1,2,1,3,2,2,1,2,2,3,4,153082,226.15,91
2,2,3,3,3,3,3,2,2,4,4,3,3,4,3,2,2,2,2,4,3,3,2,3,2,2,2,1,2,2,3,88542,136.333,92
3,3,4,4,3,4,4,2,3,2,2,3,3,4,1,2,2,1,3,3,1,1,1,2,1,1,1,1,1,1,1,110837,191.193,93
3,1,1,2,2,3,2,2,1,2,3,3,1,2,1,5,2,2,2,2,1,2,1,3,2,1,1,3,1,2,1,162796,839.639,94
1,3,4,4,4,3,4,2,2,2,2,3,3,3,2,3,2,2,2,3,2,2,2,2,2,2,1,3,2,3,2,179454,246.595,95
3,2,3,3,3,1,2,2,2,2,2,3,2,3,2,2,3,2,1,4,3,2,3,2,3,3,1,3,3,3,2,281132,340.346,96
2,3,4,5,4,3,3,4,2,2,2,3,2,5,2,4,1,3,3,4,2,5,2,4,1,3,2,4,5,2,1,153990,412.335,97
2,1,2,2,2,1,2,2,1,2,1,1,2,2,1,1,1,2,1,1,2,2,1,1,3,1,2,2,1,1,2,178594,754.605,98
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,5,4,4,4,4,4,4,4,4,4,4,4,134307,1464.188,99
4,3,4,3,4,4,4,2,3,2,4,4,2,4,2,2,3,4,2,1,3,4,2,4,4,3,1,3,3,2,1,185848,281.679,100
3,3,3,4,3,4,3,2,1,1,1,2,1,2,2,2,1,2,2,4,1,4,1,3,1,2,1,3,1,2,1,139498,217.128,101
3,1,2,4,2,3,3,3,3,1,3,4,2,2,4,3,3,3,1,2,2,2,3,2,3,3,3,3,2,2,2,2850541,2920.825,102
2,2,4,3,3,2,2,2,1,4,1,4,1,3,1,2,2,2,4,4,2,3,2,3,2,1,2,2,2,2,1,93342,202.402,103
3,2,3,4,4,3,3,4,3,4,3,3,2,2,3,3,4,3,3,4,3,3,4,3,2,3,4,4,3,4,3,143569,202.768,104
2,3,3,4,3,3,3,2,2,2,2,1,3,2,2,2,3,2,2,3,2,3,2,3,1,3,2,2,2,2,1,358450,404.825,105
5,5,5,4,3,5,5,4,1,3,1,5,5,3,1,1,3,3,2,4,4,4,1,5,3,2,1,1,5,4,1,238833,404.802,106
3,3,5,4,5,3,5,3,4,4,5,4,4,3,3,4,4,5,4,3,4,5,3,4,4,4,5,3,4,4,2,260442,495.859,107
4,4,5,5,5,4,4,4,3,4,4,4,4,5,3,4,4,4,5,5,4,4,3,4,2,4,2,3,4,4,5,210360,563.168,108
4,4,5,5,4,4,4,3,5,4,3,3,1,3,4,4,4,3,2,4,3,2,5,2,4,3,2,1,4,3,5,535169,590.003,109
4,2,3,3,2,2,2,2,1,2,2,3,2,1,1,1,2,1,2,4,2,2,1,4,1,3,1,2,1,1,1,93807,343.151,110
2,1,3,2,2,2,2,3,2,2,1,1,1,2,1,2,1,2,2,3,2,1,1,2,1,2,1,1,1,2,1,146787,361.523,111
3,4,3,3,4,4,3,3,3,3,2,4,1,3,2,4,2,2,3,3,3,3,2,4,2,3,1,4,3,1,1,188935,342.652,112
3,1,4,4,4,4,4,2,4,3,3,4,1,3,1,3,4,3,1,5,1,5,3,3,2,3,3,4,2,3,1,169571,284.137,113
2,2,3,3,2,1,1,1,2,2,2,2,1,1,1,2,1,1,2,3,1,1,1,2,1,1,1,3,2,2,1,186468,261.554,114
2,1,3,4,3,3,3,2,1,1,1,2,1,2,3,2,1,2,2,4,2,3,2,3,1,2,1,3,3,3,1,170925,265.174,115
5,4,5,5,5,3,5,5,4,4,4,3,3,5,2,5,3,5,3,4,2,5,2,5,2,4,4,3,4,4,2,93461,235.065,116
3,2,3,3,2,4,3,2,3,2,3,1,1,2,1,1,2,2,1,1,1,2,1,3,1,1,1,4,3,2,1,571738,631.312,117
