"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","version","cat_questionnaire_time","total_time","ID"
2,3,2,3,1,2,1,2,1,3,2,2,1,3,2,3,1,3,2,4,2,1,1,2,3,"Canonical_questionnaire",168874,555.954,94
4,4,5,4,3,5,4,4,4,4,1,4,1,4,3,4,2,2,4,4,3,3,3,2,4,"Canonical_questionnaire",138692,278.386,95
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Shuffled_questionnaire",95288,273.355,96
3,4,1,3,3,2,1,1,2,3,2,2,3,5,2,1,2,1,1,3,2,3,2,1,2,"Shuffled_questionnaire",77724,228.952,97
3,2,4,4,2,2,1,2,2,1,1,1,1,2,1,3,1,1,3,2,1,3,1,1,2,"Canonical_questionnaire",363290,669.441,98
4,4,4,3,4,4,3,4,2,3,3,4,1,2,2,4,3,3,2,2,2,2,2,3,4,"Shuffled_questionnaire",140260,390.287,99
2,3,4,3,3,4,3,2,2,3,4,3,2,3,2,4,2,2,3,3,2,2,1,3,2,"Canonical_questionnaire",75377,160.187,100
2,3,2,3,3,2,2,1,3,3,1,2,3,4,2,3,2,2,3,1,1,2,1,1,2,"Canonical_questionnaire",183825,408.869,101
4,3,4,4,4,3,5,5,3,5,4,3,3,3,4,4,5,4,3,4,4,3,4,3,3,"Canonical_questionnaire",18127,97.91,102
4,3,4,4,1,3,4,2,3,2,4,3,2,2,3,3,3,2,3,4,1,3,2,3,3,"Canonical_questionnaire",428583,1655.133,103
4,4,4,4,4,4,4,2,4,5,5,3,4,4,2,3,2,4,4,4,2,2,2,3,4,"Shuffled_questionnaire",119315,279.77,104
1,2,3,1,1,3,3,2,1,1,1,1,1,1,1,4,1,1,2,1,2,1,1,2,1,"Shuffled_questionnaire",151232,623.114,105
2,3,2,2,1,2,1,2,2,1,2,2,2,1,1,3,1,1,3,3,2,2,1,1,2,"Canonical_questionnaire",101934,247.874,106
3,3,3,4,3,2,3,3,3,1,2,3,4,4,2,4,3,2,2,2,1,2,2,3,2,"Shuffled_questionnaire",157704,364.744,107
3,4,2,3,3,2,2,3,2,3,3,3,4,4,3,3,2,3,3,2,4,2,2,3,3,"Canonical_questionnaire",122288,768.138,108
3,4,3,4,4,2,2,4,1,1,4,3,4,2,2,3,3,2,2,2,3,2,2,3,4,"Canonical_questionnaire",135528,672.553,109
5,5,3,4,2,4,4,3,2,2,2,2,3,3,2,5,2,2,4,4,4,2,2,3,4,"Shuffled_questionnaire",97804,227.833,110
3,3,4,3,4,1,1,1,1,2,3,2,3,4,2,3,1,2,2,3,3,2,1,2,4,"Canonical_questionnaire",79745,193.635,111
3,4,3,4,2,5,3,3,3,4,5,3,3,4,3,3,1,2,4,3,3,3,2,4,2,"Shuffled_questionnaire",130154,275.925,112
2,2,3,2,1,2,2,2,3,2,1,1,1,1,1,2,1,2,3,1,1,1,1,2,2,"Canonical_questionnaire",143973,314.393,113
2,4,3,4,1,2,2,2,2,4,3,3,1,2,2,4,3,3,4,3,2,3,2,3,3,"Shuffled_questionnaire",134643,347.193,114
2,3,2,3,2,1,1,1,1,1,1,2,4,3,1,3,2,1,1,2,2,3,2,2,2,"Shuffled_questionnaire",124304,314.632,115
3,4,3,2,2,2,2,2,2,3,3,2,2,2,2,2,1,3,2,2,1,3,3,2,3,"Shuffled_questionnaire",135547,614.871,116
5,3,3,1,1,1,1,1,1,1,2,2,5,1,1,1,1,1,1,1,1,1,1,2,1,"Shuffled_questionnaire",315224,668.169,117
